,title,author,imagelist,best
0,Monday Mornings,Sanjay Gupta,Monday Mornings.jpg,1
1,Another Piece of My Heart,Jane Green,Another Piece of My Heart.jpg,1
2,An American Spy,Olen Steinhauer,An American Spy.jpg,1
3,A Crown Imperiled,Raymond E. Feist,A Crown Imperiled.jpg,1
4,Stay Close,Harlan Coben,Stay Close.jpg,1
5,Force of Nature,C. J. Box,Force of Nature.jpg,1
6,Phantom,Ted Bell,Phantom.jpg,1
7,Born to Darkness,Suzanne Brockmann,Born to Darkness.jpg,1
8,Fall from Grace,Richard North Patterson,Fall from Grace.jpg,1
9,Lover Reborn,J. R. Ward,Lover Reborn.jpg,1
10,Guilty Wives,James Patterson,Guilty Wives.jpg,1
11,Betrayal,Danielle Steel,Betrayal.jpg,1
12,Elegy for Eddie,Jacqueline Winspear,Elegy for Eddie.jpg,1
13,Letter from a Stranger,Barbara Taylor Bradford,Letter from a Stranger.jpg,1
14,The Lost Years,Mary Higgins Clark,The Lost Years.jpg,1
15,The Limpopo Academy of Private Detection,Alexander McCall Smith,The Limpopo Academy of Private Detection.jpg,1
16,Beastly Things,Donna Leon,Beastly Things.jpg,1
17,Gypped,Carol Higgins Clark,Gypped.jpg,1
18,The Big Cat Nap,Rita Mae Brown,The Big Cat Nap.jpg,1
19,Dorchester Terrace,Anne Perry,Dorchester Terrace.jpg,1
20,Capitol Murder,Phillip Margolin,Capitol Murder.jpg,1
21,Calico Joe,John Grisham,Calico Joe.jpg,1
22,Come Home,Lisa Scottoline,Come Home.jpg,1
23,The Lifeboat,Charlotte Rogan,The Lifeboat.jpg,1
24,The Cove,Ron Rash,The Cove.jpg,1
25,The Innocent,David Baldacci,The Innocent.jpg,1
26,The Witness,Nora Roberts,The Witness.jpg,1
27,Unnatural Acts,Stuart Woods,Unnatural Acts.jpg,1
28,What Doesn't Kill You,Iris Johansen,What Doesn't Kill You.jpg,1
29,Prague Fatale,Philip Kerr,Prague Fatale.jpg,1
30,The Wind Through the Keyhole,Stephen King,The Wind Through the Keyhole.jpg,1
31,Crystal Gardens,Amanda Quick,Crystal Gardens.jpg,1
32,Into the Dreaming (with bonus material),Karen Marie Moning,Into the Dreaming (with bonus material).jpg,1
33,Deadlocked,Charlaine Harris,Deadlocked.jpg,1
34,Born of Silence,Sherrilyn Kenyon,Born of Silence.jpg,1
35,Skinnydipping,Bethenny Frankel,Skinnydipping.jpg,1
36,11th Hour - Free Preview,James Patterson,11th Hour - Free Preview.jpg,1
37,Bring Up the Bodies,Hilary Mantel,Bring Up the Bodies.jpg,1
38,The Road to Grace,Richard Paul Evans,The Road to Grace.jpg,1
39,In One Person,John Irving,In One Person.jpg,1
40,The Sins of the Father,Jeffrey Archer,The Sins of the Father.jpg,1
41,Stolen Prey,John Sandford,Stolen Prey.jpg,1
42,The Columbus Affair,Steve Berry,The Columbus Affair.jpg,1
43,As the Crow Flies,Craig Johnson,As the Crow Flies.jpg,1
44,Canada,Richard Ford,Canada.jpg,1
45,Beautiful Sacrifice,Elizabeth Lowell,Beautiful Sacrifice.jpg,1
46,2312,Kim Stanley Robinson,2312.jpg,1
47,The Storm,Clive Cussler,The Storm.jpg,1
48,A Blaze of Glory,Jeff Shaara,A Blaze of Glory.jpg,1
49,Istanbul Passage,Joseph Kanon,Istanbul Passage.jpg,1
50,Tangle of Need,Nalini Singh,Tangle of Need.jpg,1
51,Kiss the Dead,Laurell K. Hamilton,Kiss the Dead.jpg,1
52,Gone Girl,Gillian Flynn,Gone Girl.jpg,1
53,Spring Fever,Mary Kay Andrews,Spring Fever.jpg,1
54,Robert Ludlum's (TM) The Bourne Imperative,Eric Van Lustbader,Robert Ludlum's (TM) The Bourne Imperative.jpg,1
55,Redshirts,John Scalzi,Redshirts.jpg,1
56,Mission to Paris,Alan Furst,Mission to Paris.jpg,1
57,The Third Gate,Lincoln Child,The Third Gate.jpg,1
58,Porch Lights,Dorothea Benton Frank,Porch Lights.jpg,1
59,XO,Jeffery Deaver,XO.jpg,1
60,Seating Arrangements,Maggie Shipstead,Seating Arrangements.jpg,1
61,Wicked Business,Janet Evanovich,Wicked Business.jpg,1
62,The Long Earth,Terry Pratchett,The Long Earth.jpg,1
63,A Hologram for the King,Dave Eggers,A Hologram for the King.jpg,1
64,The Risk Agent,Ridley Pearson,The Risk Agent.jpg,1
65,Bloodline,James Rollins,Bloodline.jpg,1
66,Summerland,Elin Hilderbrand,Summerland.jpg,1
67,The Age of Miracles,Karen Thompson Walker,The Age of Miracles.jpg,1
68,Beautiful Ruins,Jess Walter,Beautiful Ruins.jpg,1
69,The Next Best Thing,Jennifer Weiner,The Next Best Thing.jpg,1
70,Criminal,Karin Slaughter,Criminal.jpg,1
71,Gold,Chris Cleave,Gold.jpg,1
72,Shadow of Night,Deborah Harkness,Shadow of Night.jpg,1
73,"I, Michael Bennett",James Patterson,"I, Michael Bennett.jpg",1
74,Backfire,Catherine Coulter,Backfire.jpg,1
75,The Great Escape,Susan Elizabeth Phillips,The Great Escape.jpg,1
76,The Prisoner of Heaven,Carlos Ruiz Zafon,The Prisoner of Heaven.jpg,1
77,Night Watch,Linda A. Fairstein,Night Watch.jpg,1
78,15 Seconds,Andrew Gross,15 Seconds.jpg,1
79,The Fallen Angel,Daniel Silva,The Fallen Angel.jpg,1
80,Creole Belle,James Lee Burke,Creole Belle.jpg,1
81,The Sandcastle Girls,Chris Bohjalian,The Sandcastle Girls.jpg,1
82,Close Your Eyes,Iris Johansen,Close Your Eyes.jpg,1
83,Earth Unaware,Orson Scott Card,Earth Unaware.jpg,1
84,Where We Belong,Emily Giffin,Where We Belong.jpg,1
85,Friends Forever,Danielle Steel,Friends Forever.jpg,1
86,Black List,Brad Thor,Black List.jpg,1
87,Broken Harbor,Tana French,Broken Harbor.jpg,1
88,Judgment Call,J. A. Jance,Judgment Call.jpg,1
89,Thirteen,Kelley Armstrong,Thirteen.jpg,1
90,Odd Apocalypse,Dean Koontz,Odd Apocalypse.jpg,1
91,The Light Between Oceans,M.L. Stedman,The Light Between Oceans.jpg,1
92,Haven,Kay Hooper,Haven.jpg,1
93,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,The Unlikely Pilgrimage of Harold Fry.jpg,1
94,Sweet Talk,Julie Garwood,Sweet Talk.jpg,1
95,Charon's Claw,R.A. Salvatore,Charon's Claw.jpg,1
96,The Spymasters,W. E. B. Griffin,The Spymasters.jpg,1
97,Time Untime,Sherrilyn Kenyon,Time Untime.jpg,1
98,Star Wars: X-Wing: Mercy Kill,Aaron Allston,Star Wars: X-Wing: Mercy Kill.jpg,1
99,The Dog Stars,Peter Heller,The Dog Stars.jpg,1
100,The Last Victim,Karen Robards,The Last Victim.jpg,1
101,The Inn at Rose Harbor,Debbie Macomber,The Inn at Rose Harbor.jpg,1
102,"Where'd You Go, Bernadette",Maria Semple,"Where'd You Go, Bernadette.jpg",1
103,Wards of Faerie,Terry Brooks,Wards of Faerie.jpg,1
104,Trickster's Point,William Kent Krueger,Trickster's Point.jpg,1
105,One Last Thing Before I Go,Jonathan Tropper,One Last Thing Before I Go.jpg,1
106,The Beautiful Mystery,Louise Penny,The Beautiful Mystery.jpg,1
107,Last to Die,Tess Gerritsen,Last to Die.jpg,1
108,Bones Are Forever,Kathy Reichs,Bones Are Forever.jpg,1
109,A Sunless Sea,Anne Perry,A Sunless Sea.jpg,1
110,The Time Keeper,Mitch Albom,The Time Keeper.jpg,1
111,Zoo,James Patterson,Zoo.jpg,1
112,The Tombs,Clive Cussler,The Tombs.jpg,1
113,NW,Zadie Smith,NW.jpg,1
114,Garment of Shadows,Laurie R. King,Garment of Shadows.jpg,1
115,Lord of Mountains,S. M. Stirling,Lord of Mountains.jpg,1
116,Gone,Randy Wayne White,Gone.jpg,1
117,Tiger's Claw,Dale Brown,Tiger's Claw.jpg,1
118,Clockwork Angels,Kevin J. Anderson,Clockwork Angels.jpg,1
119,A Wanted Man,Lee Child,A Wanted Man.jpg,1
120,Delusion in Death,J. D. Robb,Delusion in Death.jpg,1
121,Telegraph Avenue,Michael Chabon,Telegraph Avenue.jpg,1
122,Frozen Heat,Richard Castle,Frozen Heat.jpg,1
123,Robert B. Parker's Fool Me Twice,Michael Brandman,Robert B. Parker's Fool Me Twice.jpg,1
124,The Blinding Knife,Brent Weeks,The Blinding Knife.jpg,1
125,A Fistful of Collars,Spencer Quinn,A Fistful of Collars.jpg,1
