,title,author,image,best
0,The Fiction of Narrative,Hayden White,The Fiction of Narrative.jpg,0
0,The Rhetoric of Fiction,Wayne C. Booth,The Rhetoric of Fiction.jpg,0
0,Science Fiction,Mark Bould,Science Fiction.jpg,0
0,The Oxford Handbook of Science Fiction,Rob Latham,The Oxford Handbook of Science Fiction.jpg,0
0,Fan Fiction and Fan Communities in the Age of the Internet,Kristina Busse,Fan Fiction and Fan Communities in the Age of the Internet.jpg,0
0,The Language in Science Fiction and Fantasy,Susan Mandala,The Language in Science Fiction and Fantasy.jpg,0
0,Non-Fiction Text Structures for Better Comprehension and Response,Gail Saunders-Smith,Non-Fiction Text Structures for Better Comprehension and Response.jpg,0
0,NelsonÕs Navy in Fiction and Film,Sue Parrill,NelsonÕs Navy in Fiction and Film.jpg,0
0,The Fiction of South Asians in North America and the Caribbean,Mitali P. Wong,The Fiction of South Asians in North America and the Caribbean.jpg,0
0,Gothic Fiction Gothic Form,George E. Haggerty,Gothic Fiction Gothic Form.jpg,0
0,The Readers' Advisory Guide to Genre Fiction,Joyce G. Saricks,The Readers' Advisory Guide to Genre Fiction.jpg,0
0,The Cambridge Companion to American Crime Fiction,Catherine Ross Nickerson,The Cambridge Companion to American Crime Fiction.jpg,0
0,Detective Fiction in a Postcolonial and Transnational World,Nels Pearson,Detective Fiction in a Postcolonial and Transnational World.jpg,0
0,The Year's Best Science Fiction: Twenty-Seventh Annual Collection,Gardner Dozois,The Year's Best Science Fiction: Twenty-Seventh Annual Collection.jpg,0
0,Contemporary World Fiction: A Guide to Literature in Translation,Juris Dilevko,Contemporary World Fiction: A Guide to Literature in Translation.jpg,0
0,The Wesleyan Anthology of Science Fiction,Arthur B. Evans,The Wesleyan Anthology of Science Fiction.jpg,0
0,A User's Guide to Postcolonial and Latino Borderland Fiction,Frederick Luis Aldama,A User's Guide to Postcolonial and Latino Borderland Fiction.jpg,0
0,British Science Fiction Film and Television,Tobias Hochscherf,British Science Fiction Film and Television.jpg,0
0,Science Fiction Prototyping,Brian David Johnson,Science Fiction Prototyping.jpg,0
0,American Jewish Fiction,Josh Lambert,American Jewish Fiction.jpg,0
0,The Science of Fiction and the Fiction of Science,Frank McConnell,The Science of Fiction and the Fiction of Science.jpg,0
0,Disorienting Fiction,James Buzard,Disorienting Fiction.jpg,0
0,Science Fiction and Fantasy Literature,R. Reginald,Science Fiction and Fantasy Literature.jpg,0
0,The Science Fiction Handbook,M. Keith Booker,The Science Fiction Handbook.jpg,0
0,"Paired Passages: Linking Fact to Fiction, Grade 7",Ruth Foster,"Paired Passages: Linking Fact to Fiction, Grade 7.jpg",0
0,The Reality - Fiction Opposition in Children's Literature,Adrian Zagler,The Reality - Fiction Opposition in Children's Literature.jpg,0
0,The Man in the High Castle,Philip K. Dick,The Man in the High Castle.jpg,0
0,The Thirteenth Tale,Diane Setterfield,The Thirteenth Tale.jpg,0
0,Landline,Rainbow Rowell,Landline.jpg,0
0,Ask the Dust,John Fante,Ask the Dust.jpg,0
0,Parabolas of Science Fiction,Brian Attebery,Parabolas of Science Fiction.jpg,0
0,The History of Science Fiction,Adam Roberts,The History of Science Fiction.jpg,0
0,The Hideaway,Lauren K. Denton,The Hideaway.jpg,0
0,Science Fiction: A Very Short Introduction,David Seed,Science Fiction: A Very Short Introduction.jpg,0
0,Troublemakers,William Scott,Troublemakers.jpg,0
0,What Is Fiction For?,Bernard Harrison,What Is Fiction For?.jpg,0
0,The Formulas of Popular Fiction,Anna Faktorovich,The Formulas of Popular Fiction.jpg,0
0,Science Fiction and the Mass Cultural Genre System,John Rieder,Science Fiction and the Mass Cultural Genre System.jpg,0
0,The Things They Carried,Tim O'Brien,The Things They Carried.jpg,0
0,Ordinary Grace,William Kent Krueger,Ordinary Grace.jpg,0
0,The Laughing Monsters,Denis Johnson,The Laughing Monsters.jpg,0
0,All the Ugly and Wonderful Things,Bryn Greenwood,All the Ugly and Wonderful Things.jpg,0
0,American on Purpose,Craig Ferguson,American on Purpose.jpg,0
0,The Art of Fiction,David Lodge,The Art of Fiction.jpg,0
0,Introduction to Literature,J. M. Beach,Introduction to Literature.jpg,0
0,The Last Castle,Denise Kiernan,The Last Castle.jpg,0
0,The Cuffer Anthology,Pam Frampton,The Cuffer Anthology.jpg,0
0,Butterflies,Daniel M. Harrison,Butterflies.jpg,0
0,The Bone Clocks,David Mitchell,The Bone Clocks.jpg,0
0,Siddhartha,Herman Hesse,Siddhartha.jpg,0
0,DIY MFA,Gabriela Pereira,DIY MFA.jpg,0
0,The Zone of Interest,Martin Amis,The Zone of Interest.jpg,0
0,Wonderland,Stacey D'Erasmo,Wonderland.jpg,0
0,The Rosie Project,Graeme Simsion,The Rosie Project.jpg,0
0,To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird.jpg,0
0,Angle of Repose,Wallace Stegner,Angle of Repose.jpg,0
0,The Pillars of the Earth,Ken Follett,The Pillars of the Earth.jpg,0
0,The Dust That Falls from Dreams,Louis de Bernieres,The Dust That Falls from Dreams.jpg,0
0,A Tale of Two Cities,Charles Dickens,A Tale of Two Cities.jpg,0
0,The Mark and the Void,Paul Murray,The Mark and the Void.jpg,0
0,Literary Fiction,Geir Farner,Literary Fiction.jpg,0
0,Daughters of Lyra,Felicity Heaton,Daughters of Lyra.jpg,0
0,Burial Rites,Hannah Kent,Burial Rites.jpg,0
0,Ender's Game,Orson Scott Card,Ender's Game.jpg,0
0,Clade,James Bradley,Clade.jpg,0
0,The Course of True Love (and First Dates),Cassandra Clare,The Course of True Love (and First Dates).jpg,0
0,Whiskey Tango Foxtrot,David Shafer,Whiskey Tango Foxtrot.jpg,0
0,Science Fiction Film,Keith M. Johnston,Science Fiction Film.jpg,0
0,Fates and Furies,Lauren Groff,Fates and Furies.jpg,0
0,Fear of Dying,Erica Jong,Fear of Dying.jpg,0
0,I Found You,Lisa Jewell,I Found You.jpg,0
0,Undermajordomo Minor,Patrick deWitt,Undermajordomo Minor.jpg,0
0,The Unspeakable,Meghan Daum,The Unspeakable.jpg,0
0,Elements,Suzanne Church,Elements.jpg,0
0,The Sportswriter,Richard Ford,The Sportswriter.jpg,0
0,Station Eleven,Emily St. John Mandel,Station Eleven.jpg,0
0,Return to Sender,Julia Alvarez,Return to Sender.jpg,0
0,Boris Keeps Fit,Sharon Callen,Boris Keeps Fit.jpg,0
0,Euphoria,Lily King,Euphoria.jpg,0
0,Redeployment,Phil Klay,Redeployment.jpg,0
0,The Invention of Wings,Sue Monk Kidd,The Invention of Wings.jpg,0
0,Illuminating Fiction,Sherry Ellis,Illuminating Fiction.jpg,0
0,Germany,Laurence a Rickels,Germany.jpg,0
0,Thomas Hardy's Shorter Fiction,Sophie Gilmartin,Thomas Hardy's Shorter Fiction.jpg,0
0,Shapes of Time in British Twenty-First Century Quantum Fiction,Sonia Front,Shapes of Time in British Twenty-First Century Quantum Fiction.jpg,0
0,The Southern Woman,Elizabeth Spencer,The Southern Woman.jpg,0
0,Pneuma,Neetha Joseph,Pneuma.jpg,0
0,The Partner Track,Helen Wan,The Partner Track.jpg,0
0,The Cat Who Came for Christmas,Cleveland Amory,The Cat Who Came for Christmas.jpg,0
0,Red Alert,Peter Bryant,Red Alert.jpg,0
0,"Be Alert (2 Peter, 2 & 3 John, Jude)",Warren W. Wiersbe,"Be Alert (2 Peter, 2 & 3 John, Jude).jpg",0
0,Emergency Alert System (EAS) and All-Hazard Warnings,Linda K. Moore,Emergency Alert System (EAS) and All-Hazard Warnings.jpg,0
0,Alert!,Pauline Quenneville,Alert!.jpg,0
0,Smog Alert,Derek Elsom,Smog Alert.jpg,0
0,Terror on the Alert,Robert W. Mackay,Terror on the Alert.jpg,0
0,Sky Alert!,Les Johnson,Sky Alert!.jpg,0
0,Tsunami Alert,Oakley Brooks,Tsunami Alert.jpg,0
