,title,author,best,image,score
0,Monday Mornings,Sanjay Gupta,1,Monday Mornings.jpg,1.0
1,Another Piece of My Heart,Jane Green,1,Another Piece of My Heart.jpg,0.14012089371681213
2,An American Spy,Olen Steinhauer,1,An American Spy.jpg,0.9999208450317383
3,A Crown Imperiled,Raymond E. Feist,1,A Crown Imperiled.jpg,0.9999992847442627
4,Stay Close,Harlan Coben,1,Stay Close.jpg,0.9998635053634644
5,Force of Nature,C. J. Box,1,Force of Nature.jpg,1.0
6,Phantom,Ted Bell,1,Phantom.jpg,0.999994158744812
7,Born to Darkness,Suzanne Brockmann,1,Born to Darkness.jpg,0.9999809265136719
8,Fall from Grace,Richard North Patterson,1,Fall from Grace.jpg,0.9999325275421143
9,Lover Reborn,J. R. Ward,1,Lover Reborn.jpg,0.9989258646965027
10,Guilty Wives,James Patterson,1,Guilty Wives.jpg,1.0
11,Betrayal,Danielle Steel,1,Betrayal.jpg,0.9999997615814209
12,Elegy for Eddie,Jacqueline Winspear,1,Elegy for Eddie.jpg,0.999995231628418
13,Letter from a Stranger,Barbara Taylor Bradford,1,Letter from a Stranger.jpg,0.9999983310699463
14,The Lost Years,Mary Higgins Clark,1,The Lost Years.jpg,0.9999997615814209
15,The Limpopo Academy of Private Detection,Alexander McCall Smith,1,The Limpopo Academy of Private Detection.jpg,1.0
16,Beastly Things,Donna Leon,1,Beastly Things.jpg,1.0
17,Gypped,Carol Higgins Clark,1,Gypped.jpg,0.9999905824661255
18,The Big Cat Nap,Rita Mae Brown,1,The Big Cat Nap.jpg,0.9993336796760559
19,Dorchester Terrace,Anne Perry,1,Dorchester Terrace.jpg,0.9999889135360718
20,Capitol Murder,Phillip Margolin,1,Capitol Murder.jpg,1.0
21,Calico Joe,John Grisham,1,Calico Joe.jpg,0.9999996423721313
22,Come Home,Lisa Scottoline,1,Come Home.jpg,0.9999853372573853
23,The Lifeboat,Charlotte Rogan,1,The Lifeboat.jpg,0.9999731779098511
24,The Cove,Ron Rash,1,The Cove.jpg,0.0002368641726206988
25,The Innocent,David Baldacci,1,The Innocent.jpg,1.0
26,The Witness,Nora Roberts,1,The Witness.jpg,1.0
27,Unnatural Acts,Stuart Woods,1,Unnatural Acts.jpg,1.0
28,What Doesn't Kill You,Iris Johansen,1,What Doesn't Kill You.jpg,1.0
29,Prague Fatale,Philip Kerr,1,Prague Fatale.jpg,0.999995231628418
30,The Wind Through the Keyhole,Stephen King,1,The Wind Through the Keyhole.jpg,0.999909520149231
31,Crystal Gardens,Amanda Quick,1,Crystal Gardens.jpg,0.9999991655349731
32,Into the Dreaming (with bonus material),Karen Marie Moning,1,Into the Dreaming (with bonus material).jpg,1.0
33,Deadlocked,Charlaine Harris,1,Deadlocked.jpg,0.01742256060242653
34,Born of Silence,Sherrilyn Kenyon,1,Born of Silence.jpg,1.0
35,Skinnydipping,Bethenny Frankel,1,Skinnydipping.jpg,0.9999885559082031
36,11th Hour - Free Preview,James Patterson,1,11th Hour - Free Preview.jpg,0.9999970197677612
37,Bring Up the Bodies,Hilary Mantel,1,Bring Up the Bodies.jpg,0.9999665021896362
38,The Road to Grace,Richard Paul Evans,1,The Road to Grace.jpg,0.30521756410598755
39,In One Person,John Irving,1,In One Person.jpg,0.5476105809211731
40,The Sins of the Father,Jeffrey Archer,1,The Sins of the Father.jpg,1.0
41,Stolen Prey,John Sandford,1,Stolen Prey.jpg,1.0
42,The Columbus Affair,Steve Berry,1,The Columbus Affair.jpg,0.9998598098754883
43,As the Crow Flies,Craig Johnson,1,As the Crow Flies.jpg,0.9714347124099731
44,Canada,Richard Ford,1,Canada.jpg,1.0
45,Beautiful Sacrifice,Elizabeth Lowell,1,Beautiful Sacrifice.jpg,1.0
46,2312,Kim Stanley Robinson,1,2312.jpg,1.0
47,The Storm,Clive Cussler,1,The Storm.jpg,1.0
48,A Blaze of Glory,Jeff Shaara,1,A Blaze of Glory.jpg,0.9991514682769775
49,Istanbul Passage,Joseph Kanon,1,Istanbul Passage.jpg,0.9983590245246887
50,Tangle of Need,Nalini Singh,1,Tangle of Need.jpg,1.0
51,Kiss the Dead,Laurell K. Hamilton,1,Kiss the Dead.jpg,1.0
52,Gone Girl,Gillian Flynn,1,Gone Girl.jpg,0.9999997615814209
53,Spring Fever,Mary Kay Andrews,1,Spring Fever.jpg,0.9998854398727417
54,Robert Ludlum's (TM) The Bourne Imperative,Eric Van Lustbader,1,Robert Ludlum's (TM) The Bourne Imperative.jpg,0.9999986886978149
55,Redshirts,John Scalzi,1,Redshirts.jpg,0.9999971389770508
56,Mission to Paris,Alan Furst,1,Mission to Paris.jpg,0.9973908066749573
57,The Third Gate,Lincoln Child,1,The Third Gate.jpg,1.0
58,Porch Lights,Dorothea Benton Frank,1,Porch Lights.jpg,0.9997279047966003
59,XO,Jeffery Deaver,1,XO.jpg,1.0
60,Seating Arrangements,Maggie Shipstead,1,Seating Arrangements.jpg,0.9999680519104004
61,Wicked Business,Janet Evanovich,1,Wicked Business.jpg,1.0
62,The Long Earth,Terry Pratchett,1,The Long Earth.jpg,1.0
63,A Hologram for the King,Dave Eggers,1,A Hologram for the King.jpg,0.9999268054962158
64,The Risk Agent,Ridley Pearson,1,The Risk Agent.jpg,1.0
65,Bloodline,James Rollins,1,Bloodline.jpg,1.0
66,Summerland,Elin Hilderbrand,1,Summerland.jpg,0.9984832406044006
67,The Age of Miracles,Karen Thompson Walker,1,The Age of Miracles.jpg,1.0
68,Beautiful Ruins,Jess Walter,1,Beautiful Ruins.jpg,0.9999821186065674
69,The Next Best Thing,Jennifer Weiner,1,The Next Best Thing.jpg,0.9998853206634521
70,Criminal,Karin Slaughter,1,Criminal.jpg,0.999988317489624
71,Gold,Chris Cleave,1,Gold.jpg,0.9983175992965698
72,Shadow of Night,Deborah Harkness,1,Shadow of Night.jpg,1.0
73,"I, Michael Bennett",James Patterson,1,"I, Michael Bennett.jpg",1.0
74,Backfire,Catherine Coulter,1,Backfire.jpg,1.0
75,The Great Escape,Susan Elizabeth Phillips,1,The Great Escape.jpg,0.9999908208847046
76,The Prisoner of Heaven,Carlos Ruiz Zafon,1,The Prisoner of Heaven.jpg,0.9975414276123047
77,Night Watch,Linda A. Fairstein,1,Night Watch.jpg,1.0
78,15 Seconds,Andrew Gross,1,15 Seconds.jpg,0.9999992847442627
79,The Fallen Angel,Daniel Silva,1,The Fallen Angel.jpg,1.0
80,Creole Belle,James Lee Burke,1,Creole Belle.jpg,0.9999995231628418
81,The Sandcastle Girls,Chris Bohjalian,1,The Sandcastle Girls.jpg,0.9992393255233765
82,Close Your Eyes,Iris Johansen,1,Close Your Eyes.jpg,0.9999998807907104
83,Earth Unaware,Orson Scott Card,1,Earth Unaware.jpg,1.0
84,Where We Belong,Emily Giffin,1,Where We Belong.jpg,0.9971910119056702
85,Friends Forever,Danielle Steel,1,Friends Forever.jpg,0.9992560744285583
86,Black List,Brad Thor,1,Black List.jpg,1.0
87,Broken Harbor,Tana French,1,Broken Harbor.jpg,0.9999998807907104
88,Judgment Call,J. A. Jance,1,Judgment Call.jpg,0.9999992847442627
89,Thirteen,Kelley Armstrong,1,Thirteen.jpg,0.9996634721755981
90,Odd Apocalypse,Dean Koontz,1,Odd Apocalypse.jpg,1.0
91,The Light Between Oceans,M.L. Stedman,1,The Light Between Oceans.jpg,0.9996139407157898
92,Haven,Kay Hooper,1,Haven.jpg,1.0
93,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,1,The Unlikely Pilgrimage of Harold Fry.jpg,0.9997510313987732
94,Sweet Talk,Julie Garwood,1,Sweet Talk.jpg,0.9999983310699463
95,Charon's Claw,R.A. Salvatore,1,Charon's Claw.jpg,1.0
96,The Spymasters,W. E. B. Griffin,1,The Spymasters.jpg,1.0
97,Time Untime,Sherrilyn Kenyon,1,Time Untime.jpg,0.9999979734420776
98,Star Wars: X-Wing: Mercy Kill,Aaron Allston,1,Star Wars: X-Wing: Mercy Kill.jpg,1.0
99,The Dog Stars,Peter Heller,1,The Dog Stars.jpg,0.9999990463256836
100,The Last Victim,Karen Robards,1,The Last Victim.jpg,1.0
101,The Inn at Rose Harbor,Debbie Macomber,1,The Inn at Rose Harbor.jpg,0.9999889135360718
102,"Where'd You Go, Bernadette",Maria Semple,1,"Where'd You Go, Bernadette.jpg",0.9996521472930908
103,Wards of Faerie,Terry Brooks,1,Wards of Faerie.jpg,0.9999901056289673
104,Trickster's Point,William Kent Krueger,1,Trickster's Point.jpg,1.0
105,One Last Thing Before I Go,Jonathan Tropper,1,One Last Thing Before I Go.jpg,1.0
106,The Beautiful Mystery,Louise Penny,1,The Beautiful Mystery.jpg,0.18852847814559937
107,Last to Die,Tess Gerritsen,1,Last to Die.jpg,1.0
108,Bones Are Forever,Kathy Reichs,1,Bones Are Forever.jpg,1.0
109,A Sunless Sea,Anne Perry,1,A Sunless Sea.jpg,1.0
110,The Time Keeper,Mitch Albom,1,The Time Keeper.jpg,0.9998738765716553
111,Zoo,James Patterson,1,Zoo.jpg,0.9999902248382568
112,The Tombs,Clive Cussler,1,The Tombs.jpg,1.0
113,NW,Zadie Smith,1,NW.jpg,1.0
114,Garment of Shadows,Laurie R. King,1,Garment of Shadows.jpg,0.9997950196266174
115,Lord of Mountains,S. M. Stirling,1,Lord of Mountains.jpg,0.999990701675415
116,Gone,Randy Wayne White,1,Gone.jpg,1.0
117,Tiger's Claw,Dale Brown,1,Tiger's Claw.jpg,0.9999994039535522
118,Clockwork Angels,Kevin J. Anderson,1,Clockwork Angels.jpg,0.9999370574951172
119,A Wanted Man,Lee Child,1,A Wanted Man.jpg,1.0
120,Delusion in Death,J. D. Robb,1,Delusion in Death.jpg,1.0
121,Telegraph Avenue,Michael Chabon,1,Telegraph Avenue.jpg,0.9999997615814209
122,Frozen Heat,Richard Castle,1,Frozen Heat.jpg,1.0
123,Robert B. Parker's Fool Me Twice,Michael Brandman,1,Robert B. Parker's Fool Me Twice.jpg,0.9999980926513672
124,The Blinding Knife,Brent Weeks,1,The Blinding Knife.jpg,1.0
125,A Fistful of Collars,Spencer Quinn,1,A Fistful of Collars.jpg,1.0
126,Winter of the World,Ken Follett,1,Winter of the World.jpg,0.9999840259552002
127,Low Pressure,Sandra Brown,1,Low Pressure.jpg,0.9206076264381409
128,Severe Clear,Stuart Woods,1,Severe Clear.jpg,0.9998898506164551
129,Midst Toil and Tribulation,David Weber,1,Midst Toil and Tribulation.jpg,1.0
130,Fallen Masters,John Edward,1,Fallen Masters.jpg,0.9999983310699463
131,Hiss and Hers,M. C. Beaton,1,Hiss and Hers.jpg,0.9999759197235107
132,The Casual Vacancy,J. K. Rowling,1,The Casual Vacancy.jpg,0.05170483887195587
133,Rapture,J.R. Ward,1,Rapture.jpg,0.999994158744812
134,Founders,James Wesley Rawles,1,Founders.jpg,0.9999996423721313
